"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0000622","triacylglycerols [GL0301]",403,27,19.26,"8.4e-05","0.00637"
"LION:0000002","glycerolipids [GL]",409,27,19.55,"0.00013","0.00637"
"LION:0012011","lipid storage",428,27,20.45,"0.00045","0.01103"
"LION:0012084","lipid droplet",428,27,20.45,"0.00045","0.01103"
"LION:0000094","headgroup with neutral charge",434,27,20.74,"0.00066","0.01294"
"LION:0000001","fatty acids [FA]",26,0,1.24,"1.00000","1.00000"
"LION:0000003","glycerophospholipids [GP]",83,0,3.97,"1.00000","1.00000"
"LION:0000004","sphingolipids [SP]",16,0,0.76,"1.00000","1.00000"
"LION:0000010","glycerophosphocholines [GP01]",62,0,2.96,"1.00000","1.00000"
"LION:0000030","diacylglycerophosphocholines [GP0101]",47,0,2.25,"1.00000","1.00000"
"LION:0000034","monoacylglycerophosphocholines [GP0105]",15,0,0.72,"1.00000","1.00000"
"LION:0000047","diacylglycerophosphoinositols [GP0601]",14,0,0.67,"1.00000","1.00000"
"LION:0000059","diacylglycerophosphoglycerols [GP0401]",5,0,0.24,"1.00000","1.00000"
"LION:0000084","ceramide phosphocholines (sphingomyelins) [SP0301]",12,0,0.57,"1.00000","1.00000"
"LION:0000093","headgroup with negative charge",46,0,2.2,"1.00000","1.00000"
"LION:0000095","headgroup with positive charge / zwitter-ion",75,0,3.58,"1.00000","1.00000"
"LION:0000100","fatty acid with 18 carbons or less",106,0,5.07,"1.00000","1.00000"
"LION:0000181","PC(36:3)",3,0,0.14,"1.00000","1.00000"
"LION:0000182","PC(36:2)",3,0,0.14,"1.00000","1.00000"
"LION:0000191","PC(38:6)",3,0,0.14,"1.00000","1.00000"
"LION:0000192","PC(38:5)",4,0,0.19,"1.00000","1.00000"
"LION:0000259","C14:0",6,0,0.29,"1.00000","1.00000"
"LION:0000464","negative intrinsic curvature",11,0,0.53,"1.00000","1.00000"
